scenario,state,proj_default_prob,proj_prepay_prob
Adverse_Credit,0,0.0009523809523809524,0.019629893569398225
Adverse_Credit,1,0.0036031042128603103,0.019160091635945776
Adverse_Credit,2,0.014586014586014587,0.022771191737043214
Adverse_Credit,3,0.004296368352788587,0.025268747049282374
Adverse_Credit,4,0.015269607843137254,0.03333835691599269
Adverse_Credit,5,0.008362884160756501,0.026621395198367644
Adverse_Credit,6,0.0016025641025641025,0.025871587300653837
Adverse_Credit,7,0.008518376722817763,0.018591899505718077
Adverse_Credit,8,0.00047929447852760736,0.02821825451519396
Adverse_Credit,9,0.004880352644836272,0.02640796294370282
Base,0,0.00038095238095238096,0.04907473392349557
Base,1,0.0014412416851441242,0.047900229089864445
Base,2,0.011368511368511369,0.056927979342608036
Base,3,0.003404669260700389,0.06317186762320594
Base,4,0.011049019607843135,0.08334589228998172
Base,5,0.005898345153664303,0.0665534879959191
Base,6,0.0013736263736263737,0.06467896825163458
Base,7,0.007082695252679939,0.04647974876429519
Base,8,0.00019171779141104295,0.07054563628798488
Base,9,0.0019521410579345089,0.06601990735925704
High_Prepayment,0,0.0003047619047619048,0.1417040861776509
High_Prepayment,1,0.0011529933481152993,0.13601223046167177
High_Prepayment,2,0.009094809094809095,0.1651075297206643
High_Prepayment,3,0.0027237354085603116,0.1742206903473244
High_Prepayment,4,0.00883921568627451,0.22031560521871257
High_Prepayment,5,0.004718676122931443,0.18424956575538473
High_Prepayment,6,0.001098901098901099,0.17483168292013979
High_Prepayment,7,0.005666156202143951,0.13544619704464825
High_Prepayment,8,0.00015337423312883436,0.17836860996692003
High_Prepayment,9,0.0015617128463476073,0.1755885994645335
